# Downloaded from finance.yahoo.com
Date,Open,High,Low,Close,Volume,Adj Close
2009-10-28,326.41,326.41,326.41,326.41,000,326.41
2009-10-27,338.231,338.231,338.231,338.231,000,338.231
2009-10-26,337.445,337.445,337.445,337.445,000,337.445
2009-10-23,342.301,342.301,342.301,342.301,000,342.301
2009-10-22,344.056,344.056,344.056,344.056,000,344.056
2009-10-21,348.981,348.981,348.981,348.981,000,348.981
2009-10-20,349.402,349.402,349.402,349.402,000,349.402
2009-10-19,348.499,348.499,348.499,348.499,000,348.499
2009-10-16,341.904,341.904,341.904,341.904,000,341.904
2009-10-15,341.734,341.734,341.734,341.734,000,341.734
2009-10-14,342.339,342.339,342.339,342.339,000,342.339
2009-10-13,335.167,335.167,335.167,335.167,000,335.167
2009-10-12,337.982,337.982,337.982,337.982,000,337.982
2009-10-09,337.122,337.122,337.122,337.122,000,337.122
2009-10-08,335.614,335.614,335.614,335.614,000,335.614
2009-10-07,327.264,327.264,327.264,327.264,000,327.264
2009-10-06,329.676,329.676,329.676,329.676,000,329.676
2009-10-05,320.286,320.286,320.286,320.286,000,320.286
2009-10-02,311.432,311.432,311.432,311.432,000,311.432
2009-10-01,318.871,318.871,318.871,318.871,000,318.871
2009-09-30,323.461,323.461,323.461,323.461,000,323.461
2009-09-29,322.635,322.635,322.635,322.635,000,322.635
2009-09-28,322.523,322.523,322.523,322.523,000,322.523
2009-09-25,319.001,319.001,319.001,319.001,000,319.001
2009-09-24,317.058,317.058,317.058,317.058,000,317.058
2009-09-23,323.606,323.606,323.606,323.606,000,323.606
2009-09-22,327.543,327.543,327.543,327.543,000,327.543
2009-09-21,321.835,321.835,321.835,321.835,000,321.835
2009-09-18,325.528,325.528,325.528,325.528,000,325.528
2009-09-17,325.344,325.344,325.344,325.344,000,325.344
2009-09-16,323.894,323.894,323.894,323.894,000,323.894
2009-09-15,317.905,317.905,317.905,317.905,000,317.905
2009-09-14,309.78,309.78,309.78,309.78,000,309.78
2009-09-11,312.415,312.415,312.415,312.415,000,312.415
2009-09-10,311.22,311.22,311.22,311.22,000,311.22
2009-09-09,311.98,311.98,311.98,311.98,000,311.98
2009-09-08,307.533,307.533,307.533,307.533,000,307.533
2009-09-07,305.674,305.674,305.674,305.674,000,305.674
2009-09-04,299.754,299.754,299.754,299.754,000,299.754
2009-09-03,296.26,296.26,296.26,296.26,000,296.26
2009-09-02,293.084,293.084,293.084,293.084,000,293.084
2009-09-01,297.973,297.973,297.973,297.973,000,297.973
2009-08-31,300.185,300.185,300.185,300.185,000,300.185
2009-08-28,307.638,307.638,307.638,307.638,000,307.638
2009-08-27,302.739,302.739,302.739,302.739,000,302.739
2009-08-26,307.398,307.398,307.398,307.398,000,307.398
2009-08-25,314.15,314.15,314.15,314.15,000,314.15
2009-08-24,313.167,313.167,313.167,313.167,000,313.167
2009-08-21,307.359,307.359,307.359,307.359,000,307.359
2009-08-20,299.99,299.99,299.99,299.99,000,299.99
2009-08-19,295.385,295.385,295.385,295.385,000,295.385
2009-08-18,295.547,295.547,295.547,295.547,000,295.547
2009-08-17,291.914,291.914,291.914,291.914,000,291.914
2009-08-14,299.447,299.447,299.447,299.447,000,299.447
2009-08-13,301.034,301.034,301.034,301.034,000,301.034
2009-08-12,299.813,299.813,299.813,299.813,000,299.813
2009-08-11,295.037,295.037,295.037,295.037,000,295.037
2009-08-10,299.849,299.849,299.849,299.849,000,299.849
2009-08-07,302.738,302.738,302.738,302.738,000,302.738
2009-08-06,300.909,300.909,300.909,300.909,000,300.909
